Branch,Department,Designation,Employee,"Target Rating","Overall Rating","Appraisal Date",Remarks,Competent
"Attache Pool Club","Bar & Lounge",Barback,"Ajaya Thapa",N/A,"Quality of Work = 4, Attendence & Punctuality = 3, Reliability/Dependability = 4, Judgement & Decision-making = 4, Consistency = 4, Leadership = 3, Team Work = 4, Initiative and Innovation = 4, Communication Skills = 4 | Overall = 3.8",2025-11,,
"Attache Pool Club","Bar & Lounge",Bartender,"Roderick Nedia",N/A,"Quality of Work = 4, Attendence & Punctuality = 4, Reliability/Dependability = 5, Judgement & Decision-making = 3, Consistency = 4, Leadership = 3, Team Work = 4, Initiative and Innovation = 4, Communication Skills = 4 | Overall = 3.9",2025-11,,
"Attache Pool Club","Bar & Lounge",Bartender,"Mohammed al Shahrani",N/A,"Quality of Work = 4, Attendence & Punctuality = 3, Reliability/Dependability = 4, Judgement & Decision-making = 4, Consistency = 4, Leadership = 3, Team Work = 4, Initiative and Innovation = 4, Communication Skills = 4 | Overall = 3.8",2025-11,,
"Attache Pool Club","Bar & Lounge",Bartender,"Mark Bretana",N/A,"Quality of Work = 3, Attendence & Punctuality = 4, Reliability/Dependability = 4, Judgement & Decision-making = 2, Consistency = 3, Leadership = 3, Team Work = 3, Initiative and Innovation = 3, Communication Skills = 3 | Overall = 3.1",2025-11,,
Attache,Bar,Bartender,"Sulieman Ibrahim",N/A,"Quality of Work = 2, Attendence & Punctuality = 3, Reliability/Dependability = 2, Judgement & Decision-making = 2, Consistency = 2, Leadership = 1, Team Work = 3, Initiative and Innovation = 2, Communication Skills = 2 | Overall = 2.1",2025-11,,
Attache,Bar,Bartender,"Elnoor Asgarzada",N/A,"Quality of Work = 3, Attendence & Punctuality = 4, Reliability/Dependability = 4, Judgement & Decision-making = 3, Consistency = 3, Leadership = 2, Team Work = 2, Initiative and Innovation = 3, Communication Skills = 3 | Overall = 3.0",2025-11,,
Attache,Bar,Bartender,"Abdullah al Mamun",N/A,"Quality of Work = 3, Attendence & Punctuality = 4, Reliability/Dependability = 3, Judgement & Decision-making = 2, Consistency = 3, Leadership = 2, Team Work = 3, Initiative and Innovation = 3, Communication Skills = 2 | Overall = 2.8",2025-11,,
"Beast House","Restaurant - BH",Barback,"Jess Densing",N/A,"Quality of Work = 5, Attendence & Punctuality = 4, Reliability/Dependability = 5, Judgement & Decision-making = 4, Consistency = 4, Leadership = 3, Team Work = 4, Initiative and Innovation = 3, Communication Skills = 4 | Overall = 4.0","QUARTER 3",,
"Beast House","Back of House - BH","Demi Chef De Partie","Francis Kent",N/A,"Quality of Work = 3, Attendence & Punctuality = 3, Reliability/Dependability = 3, Judgement & Decision-making = 2, Consistency = 3, Leadership = 2, Team Work = 4, Initiative and Innovation = 4, Communication Skills = 4 | Overall = 3.1",2025-04,,
"Beast House","Back of House - BH",CDP,"Lasitha Deshan",N/A,"Quality of Work = 4, Attendence & Punctuality = 3, Reliability/Dependability = 3, Judgement & Decision-making = 3, Consistency = 3, Leadership = 2, Team Work = 4, Initiative and Innovation = 4, Communication Skills = 4 | Overall = 3.3",2025-04,,
"Beast House","Back of House - BH",Commis,"Kum Gurung",N/A,"Quality of Work = 3, Attendence & Punctuality = 3, Reliability/Dependability = 3, Judgement & Decision-making = 2, Consistency = 2, Leadership = 2, Team Work = 4, Initiative and Innovation = 3, Communication Skills = 3 | Overall = 2.8",2025-04,,
"Beast House","Back of House - BH",Commis,"Jit Bahadur",N/A,"Quality of Work = 3, Attendence & Punctuality = 3, Reliability/Dependability = 2, Judgement & Decision-making = 2, Consistency = 3, Leadership = 2, Team Work = 4, Initiative and Innovation = 3, Communication Skills = 4 | Overall = 2.9",2025-04,,
"Beast House","Back of House - BH",Commis,"Reynaldo Marcelo",N/A,"Quality of Work = 3, Attendence & Punctuality = 3, Reliability/Dependability = 2, Judgement & Decision-making = 2, Consistency = 2, Leadership = 2, Team Work = 4, Initiative and Innovation = 3, Communication Skills = 4 | Overall = 2.8",2025-04,,
"Beast House","Back of House - BH","Sous Chef","Abdulmajeed Al Abbassi",N/A,"Quality of Work = 4, Attendence & Punctuality = 4, Reliability/Dependability = 3, Judgement & Decision-making = 3, Consistency = 3, Leadership = 3, Team Work = 3, Initiative and Innovation = 3, Communication Skills = 3 | Overall = 3.2",2025-04,,
"Beast House","Back of House - BH","Sous Chef","Abdulmajeed Al Abbassi",N/A,"Quality of Work = 3, Attendence & Punctuality = 3, Reliability/Dependability = 3, Judgement & Decision-making = 3, Consistency = 3, Leadership = 3, Team Work = 3, Initiative and Innovation = 3, Communication Skills = 3 | Overall = 3.0",2025-01,,
Attache,Bar,Bartender,"Anas Uddin",N/A,"Quality of Work = 3, Attendence & Punctuality = 5, Reliability/Dependability = 5, Judgement & Decision-making = 3, Consistency = 4, Leadership = 2, Team Work = 4, Initiative and Innovation = 3, Communication Skills = 3 | Overall = 3.6",2025-11,,
"Beast House","Back of House - BH","Demi Chef De Partie","Francis Kent",N/A,"Quality of Work = 3, Attendence & Punctuality = 4, Reliability/Dependability = 2, Judgement & Decision-making = 3, Consistency = 3, Leadership = 2, Team Work = 4, Initiative and Innovation = 3, Communication Skills = 3 | Overall = 3.0",2025-10,,
Attache,"Hookah Lounge - FOH","Unstable Supervisor","Samar Zeineddine",N/A,"Quality of Work = 4, Attendence & Punctuality = 4, Reliability/Dependability = 4, Judgement & Decision-making = 3, Consistency = 4, Leadership = 3, Team Work = 4, Initiative and Innovation = 5, Communication Skills = 3 | Overall = 3.8",2025-11,,
"Beast House","Back of House - BH",CDP,"Lasitha Deshan",N/A,"Quality of Work = 4, Attendence & Punctuality = 5, Reliability/Dependability = 4, Judgement & Decision-making = 4, Consistency = 3, Leadership = 4, Initiative and Innovation = 4, Communication Skills = 4 | Overall = 4.0",2025-10,,
"Beast House","Back of House - BH",Commis,"Kum Gurung",N/A,"Quality of Work = 4, Attendence & Punctuality = 5, Reliability/Dependability = 4, Judgement & Decision-making = 3, Consistency = 4, Leadership = 3, Team Work = 4, Initiative and Innovation = 4, Communication Skills = 3 | Overall = 3.8",2025-10,,
"Beast House","Back of House - BH",Commis,"Jit Bahadur",N/A,"Quality of Work = 4, Attendence & Punctuality = 5, Reliability/Dependability = 4, Judgement & Decision-making = 3, Consistency = 4, Leadership = 3, Team Work = 4, Initiative and Innovation = 3, Communication Skills = 3 | Overall = 3.7",2025-10,,
"Beast House","Back of House - BH",Commis,"Allakonda Narenda",N/A,"Quality of Work = 3, Attendence & Punctuality = 4, Reliability/Dependability = 3, Judgement & Decision-making = 3, Consistency = 2, Leadership = 2, Team Work = 4, Initiative and Innovation = 3, Communication Skills = 3 | Overall = 3.0",2025-10,,
"Beast House","Back of House - BH",Commis,"Reynaldo Marcelo",N/A,"Quality of Work = 4, Attendence & Punctuality = 4, Reliability/Dependability = 4, Judgement & Decision-making = 3, Consistency = 3, Leadership = 3, Team Work = 4, Initiative and Innovation = 4, Communication Skills = 4 | Overall = 3.7",2025-10,,
"Beast House","Back of House - BH","Sous Chef","Abdulmajeed Al Abbassi",N/A,"Quality of Work = 4, Attendence & Punctuality = 4, Reliability/Dependability = 4, Judgement & Decision-making = 4, Consistency = 4, Leadership = 4, Team Work = 4, Initiative and Innovation = 4, Communication Skills = 4 | Overall = 4.0",2025-10,,
"Attache Pool Club","Back of House",Commis,"Jabijit Gurung",N/A,"Quality of Work = 3, Attendence & Punctuality = 4, Reliability/Dependability = 1, Judgement & Decision-making = 1, Consistency = 3, Leadership = 1, Team Work = 4, Initiative and Innovation = 1, Communication Skills = 2 | Overall = 2.2",November,,
"Attache Pool Club","Back of House","Chef De Partie","Suman Dey",N/A,"Quality of Work = 5, Attendence & Punctuality = 5, Reliability/Dependability = 5, Judgement & Decision-making = 4, Consistency = 5, Leadership = 4, Team Work = 5, Initiative and Innovation = 3, Communication Skills = 5 | Overall = 4.6",November,,
"Attache Pool Club","Back of House",Commis,"Vivek Rana",N/A,"Quality of Work = 5, Attendence & Punctuality = 4, Reliability/Dependability = 4, Judgement & Decision-making = 3, Consistency = 4, Leadership = 3, Team Work = 5, Initiative and Innovation = 3, Communication Skills = 5 | Overall = 4.0",2025-11,,
"Attache Pool Club","Back of House",Commis,"Bhabishwor Lamichhane",N/A,"Quality of Work = 5, Attendence & Punctuality = 4, Reliability/Dependability = 4, Judgement & Decision-making = 4, Consistency = 4, Leadership = 3, Team Work = 5, Initiative and Innovation = 3, Communication Skills = 5 | Overall = 4.1",November,,
"Attache Pool Club","Back of House","Sous Chef","Abdulrahman Abufrah",N/A,"Quality of Work = 5, Attendence & Punctuality = 4, Reliability/Dependability = 5, Judgement & Decision-making = 5, Consistency = 5, Leadership = 5, Team Work = 5, Initiative and Innovation = 5, Communication Skills = 5 | Overall = 4.9",November,,
"Attache Pool Club",Management,"Chef De Partie","Nishan Gurung",N/A,"Quality of Work = 5, Attendence & Punctuality = 5, Reliability/Dependability = 4, Judgement & Decision-making = 4, Consistency = 4, Leadership = 4, Team Work = 5, Initiative and Innovation = 4, Communication Skills = 4 | Overall = 4.3",November,,
"Attache Pool Club","Housekeeping & Laundry","House Keeping Attendant","Ram Kumar Thakur",N/A,"Quality of Work = 4, Attendence & Punctuality = 5, Reliability/Dependability = 4, Judgement & Decision-making = 4, Consistency = 4, Leadership = 4, Team Work = 5, Initiative and Innovation = 4, Communication Skills = 4 | Overall = 4.2",2025-11,,
"Attache Pool Club","Housekeeping & Laundry","House Keeping Attendant","Jean Paula Coronado",N/A,"Quality of Work = 4, Attendence & Punctuality = 4, Reliability/Dependability = 4, Judgement & Decision-making = 4, Consistency = 3, Leadership = 3, Team Work = 4, Initiative and Innovation = 3, Communication Skills = 4 | Overall = 3.7",2025-11,,
"Attache Pool Club",FOH,"Assistant Pool Club Manager","Mekhrodzhiddin Gulov",N/A,"Quality of Work = 4, Attendence & Punctuality = 5, Reliability/Dependability = 4, Judgement & Decision-making = 4, Consistency = 5, Leadership = 4, Team Work = 5, Initiative and Innovation = 5, Communication Skills = 5 | Overall = 4.6",2025-11,,
Attache,"Hookah Lounge - FOH","Lounge Supervisor","Ahmed Ibrahim",N/A,"Quality of Work = 4, Attendence & Punctuality = 4, Reliability/Dependability = 4, Judgement & Decision-making = 4, Consistency = 4, Leadership = 4, Team Work = 4, Initiative and Innovation = 4, Communication Skills = 4 | Overall = 4.0",2025-11,,
"Attache Pool Club","Housekeeping & Laundry","House Keeping Attendant","Sandra M. Macato",N/A,"Quality of Work = 4, Attendence & Punctuality = 5, Reliability/Dependability = 4, Judgement & Decision-making = 4, Consistency = 4, Leadership = 3, Team Work = 5, Initiative and Innovation = 3, Communication Skills = 4 | Overall = 4.0",2025-11,,
"Attache Pool Club","Housekeeping & Laundry","House Keeping Attendant","Angel J.Gelladula",N/A,"Quality of Work = 4, Attendence & Punctuality = 5, Reliability/Dependability = 5, Judgement & Decision-making = 4, Consistency = 4, Leadership = 3, Team Work = 4, Initiative and Innovation = 3, Communication Skills = 4 | Overall = 4.0",2025-11,,
"Attache Pool Club","Housekeeping & Laundry","Housekeeping Manager","Wardah Al Mazroui",N/A,"Quality of Work = 4, Attendence & Punctuality = 5, Reliability/Dependability = 5, Judgement & Decision-making = 4, Consistency = 3, Leadership = 4, Team Work = 5, Initiative and Innovation = 5, Communication Skills = 4 | Overall = 4.3",2025-11,,
"Attache Pool Club",FOH,"Assistant Pool Club Manager","Mekhrodzhiddin Gulov",N/A,"Quality of Work = 4, Attendence & Punctuality = 5, Reliability/Dependability = 4, Judgement & Decision-making = 4, Consistency = 5, Leadership = 4, Team Work = 5, Initiative and Innovation = 5, Communication Skills = 5 | Overall = 4.6",2025-11,,
"MDL Beast Venues HQ",Operations,"Food and Health Safety Supervisor","Henry E. Dumalaon",N/A,"Quality of Work = 3, Attendence & Punctuality = 5, Reliability/Dependability = 5, Judgement & Decision-making = 4, Consistency = 5, Leadership = 5, Team Work = 5, Initiative and Innovation = 5, Communication Skills = 5 | Overall = 4.7",2025-11,,
"Attache Pool Club",FOH,"Gym and Fiteness Center Attendant","Benjamin Bukenya",N/A,"Quality of Work = 2, Attendence & Punctuality = 4, Reliability/Dependability = 2, Judgement & Decision-making = 1, Consistency = 3, Leadership = 1, Team Work = 5, Initiative and Innovation = 1, Communication Skills = 2 | Overall = 2.3",2025-11,,
"Attache Pool Club",FOH,"Pool Attendant","Jomar Laudiana Ibale",N/A,"Quality of Work = 3, Attendence & Punctuality = 5, Reliability/Dependability = 3, Judgement & Decision-making = 1, Consistency = 3, Leadership = 1, Team Work = 4, Initiative and Innovation = 2, Communication Skills = 2 | Overall = 2.7",2025-11,,
"Attache Pool Club",FOH,"Pool Attendant","Ariel Frades",N/A,"Quality of Work = 3, Attendence & Punctuality = 5, Reliability/Dependability = 3, Judgement & Decision-making = 1, Consistency = 3, Leadership = 1, Team Work = 3, Initiative and Innovation = 2, Communication Skills = 2 | Overall = 2.6",2025-11,,
Attache,"MARKETING / EVENTS / CATERING","Event Executive","Jude Albanna",N/A,"Quality of Work = 4, Attendence & Punctuality = 4, Reliability/Dependability = 4, Judgement & Decision-making = 3, Consistency = 4, Leadership = 3, Team Work = 4, Initiative and Innovation = 4, Communication Skills = 4 | Overall = 3.8","Q3 - July, August, September 2025",,
Attache,"MARKETING / EVENTS / CATERING","Event Executive","Jude Albanna",N/A,"Quality of Work = 4, Attendence & Punctuality = 4, Reliability/Dependability = 4, Judgement & Decision-making = 4, Consistency = 4, Leadership = 4, Team Work = 4, Initiative and Innovation = 4, Communication Skills = 4 | Overall = 4.0","Q4 - October, November 2025",,
"MDL Beast Venues HQ","MARKETING / EVENTS / CATERING","Event Executive","Jude Albanna",N/A,"Quality of Work = 4, Attendence & Punctuality = 4, Reliability/Dependability = 4, Judgement & Decision-making = 3, Consistency = 4, Leadership = 3, Team Work = 4, Initiative and Innovation = 4, Communication Skills = 4 | Overall = 3.8",2025-09,,
Attache,"MARKETING / EVENTS / CATERING","Event Executive","Sondos Abuaziza",N/A,"Quality of Work = 4, Attendence & Punctuality = 4, Reliability/Dependability = 4, Judgement & Decision-making = 4, Consistency = 4, Leadership = 4, Team Work = 5, Initiative and Innovation = 4, Communication Skills = 4 | Overall = 4.1","Q4 - October, November 2025",,
Attache,"MARKETING / EVENTS / CATERING","Event Executive","Sondos Abuaziza",N/A,"Quality of Work = 4, Attendence & Punctuality = 4, Reliability/Dependability = 4, Judgement & Decision-making = 3, Consistency = 4, Leadership = 3, Team Work = 4, Initiative and Innovation = 3, Communication Skills = 3 | Overall = 3.6","Q3 - July, August, September 2025",,
"Attache Pool Club",-,-,-,N/A,"Quality of Work = 2, Attendence & Punctuality = 4, Reliability/Dependability = 3, Judgement & Decision-making = 1, Consistency = 3, Leadership = 1, Team Work = 3, Initiative and Innovation = 2, Communication Skills = 3 | Overall = 2.4",2025-11,,
"Attache Pool Club",FOH,Waiter,"Eydan Khalnapasov","Reliability/Dependability = 4 | Overall = 1.3","Quality of Work = 2, Attendence & Punctuality = 2, Reliability/Dependability = 2, Judgement & Decision-making = 2, Consistency = 3, Leadership = 1, Team Work = 3, Initiative and Innovation = 2, Communication Skills = 3 | Overall = 2.2",2025-11,,
"Attache Pool Club",FOH,Waiter,"Oyatillo Muminov","Reliability/Dependability = 4 | Overall = 1.3","Quality of Work = 2, Attendence & Punctuality = 3, Reliability/Dependability = 2, Judgement & Decision-making = 3, Consistency = 3, Leadership = 2, Team Work = 2, Initiative and Innovation = 2, Communication Skills = 3 | Overall = 2.4",2025-11,,
"Attache Pool Club",FOH,Waiter,"Peter Iheanacho Ani","Reliability/Dependability = 4 | Overall = 1.3","Quality of Work = 2, Attendence & Punctuality = 3, Reliability/Dependability = 2, Judgement & Decision-making = 2, Consistency = 2, Leadership = 2, Team Work = 3, Initiative and Innovation = 2, Communication Skills = 5 | Overall = 2.6",2025-11,,
"Attache Pool Club",FOH,"In room dinning Supervisor","Charlotte Lyle Ilao",N/A,"Quality of Work = 3, Attendence & Punctuality = 3, Reliability/Dependability = 4, Judgement & Decision-making = 3, Consistency = 3, Leadership = 2, Team Work = 3, Initiative and Innovation = 2, Communication Skills = 3 | Overall = 2.9",2025-11,,
"Attache Pool Club",FOH,"Pool Club Supervisor","Mohammed Sultan",N/A,"Quality of Work = 4, Attendence & Punctuality = 3, Reliability/Dependability = 3, Judgement & Decision-making = 3, Consistency = 4, Leadership = 3, Team Work = 3, Initiative and Innovation = 3, Communication Skills = 3 | Overall = 3.2",2025-11,,
"Beast House","Bar - BH","Bar Supervisor","Dilshod Yuldashev",N/A,"Quality of Work = 4, Attendence & Punctuality = 3, Reliability/Dependability = 5, Judgement & Decision-making = 4, Consistency = 4, Leadership = 4, Team Work = 4, Initiative and Innovation = 4, Communication Skills = 4 | Overall = 4.0",2025-10,,
"Beast House","Bar - BH",Bartender,"Tyron Neill",N/A,"Quality of Work = 2, Attendence & Punctuality = 3, Reliability/Dependability = 2, Judgement & Decision-making = 3, Consistency = 2, Leadership = 2, Team Work = 3, Initiative and Innovation = 3, Communication Skills = 3 | Overall = 2.6",2025-10,,
"Attache Pool Club",FOH,"Pool Club Supervisor","Mohammed Sultan",N/A,"Quality of Work = 4, Attendence & Punctuality = 5, Reliability/Dependability = 4, Judgement & Decision-making = 3, Consistency = 4, Leadership = 3, Team Work = 4, Initiative and Innovation = 3, Communication Skills = 4 | Overall = 3.8",2025-05,,
"Beast House","Back of House - BH","Sous Chef","Abdulmajeed Al Abbassi",N/A,"Quality of Work = 4, Attendence & Punctuality = 5, Reliability/Dependability = 3, Judgement & Decision-making = 4, Consistency = 3, Leadership = 3, Team Work = 4, Initiative and Innovation = 4, Communication Skills = 4 | Overall = 3.8",2025-09,,
"Attache Pool Club",FOH,Waiter,"Oyatillo Muminov","Reliability/Dependability = 4 | Overall = 1.3","Quality of Work = 3, Attendence & Punctuality = 3, Reliability/Dependability = 3, Judgement & Decision-making = 3, Consistency = 4, Leadership = 2, Team Work = 3, Initiative and Innovation = 3, Communication Skills = 3 | Overall = 3.0",2025-05,,
"Beast House","Back of House - BH","Sous Chef","Abdulmajeed Al Abbassi",N/A,"Quality of Work = 4, Attendence & Punctuality = 5, Reliability/Dependability = 3, Judgement & Decision-making = 4, Consistency = 3, Leadership = 3, Team Work = 4, Initiative and Innovation = 4, Communication Skills = 4 | Overall = 3.8",2025-09,,
Attache,"Restaurant - FOH","Head Waiter","Noor Khan",N/A,"Quality of Work = 1, Attendence & Punctuality = 3, Reliability/Dependability = 1, Judgement & Decision-making = 1, Consistency = 2, Leadership = 1, Team Work = 3, Initiative and Innovation = 1, Communication Skills = 2 | Overall = 1.7",2025-10,,
"Attache Pool Club",FOH,Waiter,"Peter Iheanacho Ani","Reliability/Dependability = 4 | Overall = 1.3","Quality of Work = 4, Attendence & Punctuality = 4, Reliability/Dependability = 3, Judgement & Decision-making = 3, Consistency = 4, Leadership = 3, Team Work = 4, Initiative and Innovation = 3, Communication Skills = 4 | Overall = 3.6",2025-05,,
